GENE	obeta_ncbi	obeta_ragtag_ncbi	obeta_ragtag_tama
ENSCGOG00000013262	I	I	I
ENSCGOG00000016664	I	I	I
ENSCGOG00000023530	I	I	I
ENSCGOG00000021210	I	I	I
ENSCGOG00000020975	UL	UL	UL
ENSCGOG00000010490	I	I	I
ENSCGOG00000002449	I	I	I
ENSCGOG00000010415	I	I	I
ENSCGOG00000005164	UL	UL	UL
ENSCGOG00000004211	I	I	I
ENSCGOG00000003461	M	M	L
ENSCGOG00000011747	I	I	UL
ENSCGOG00000022451	I	I	I
ENSCGOG00000017006	I	I	I
ENSCGOG00000011429	I	I	I
ENSCGOG00000004143	L	L	L
ENSCGOG00000000551	I	I	I
ENSCGOG00000019903	I	I	I
ENSCGOG00000007494	I	I	I
ENSCGOG00000005790	I	I	I
ENSCGOG00000018395	PG	PG	PG
ENSCGOG00000016630	I	I	I
ENSCGOG00000011892	I	I	I
ENSCGOG00000009215	I	I	I
ENSCGOG00000011888	I	I	I
ENSCGOG00000020994	L	L	L
ENSCGOG00000012540	I	I	I
ENSCGOG00000007275	L	L	L
ENSCGOG00000011606	I	I	I
ENSCGOG00000007439	L	L	L
ENSCGOG00000007171	I	I	I
ENSCGOG00000014421	L	L	L
ENSCGOG00000016405	I	I	I
ENSCGOG00000023549	I	I	I
ENSCGOG00000000636	I	I	L
ENSCGOG00000009296	I	I	I
ENSCGOG00000009614	I	I	I
ENSCGOG00000011481	I	I	I
ENSCGOG00000010901	I	I	I
ENSCGOG00000012832	I	I	I
ENSCGOG00000003730	I	I	I
ENSCGOG00000017936	I	I	I
ENSCGOG00000022233	I	I	I
ENSCGOG00000012566	UL	UL	UL
ENSCGOG00000003794	L	UL	PI
ENSCGOG00000013332	I	I	I
ENSCGOG00000020410	I	I	I
ENSCGOG00000022481	I	I	I
ENSCGOG00000003524	I	I	I
ENSCGOG00000021746	I	I	I
ENSCGOG00000023789	I	I	I
ENSCGOG00000021645	I	I	I
ENSCGOG00000013106	I	I	I
ENSCGOG00000012322	I	I	I
ENSCGOG00000013101	I	I	I
ENSCGOG00000020098	I	I	I
ENSCGOG00000001572	I	I	I
ENSCGOG00000000429	I	I	I
ENSCGOG00000003425	I	I	I
ENSCGOG00000002547	I	UL	UL
ENSCGOG00000016921	I	I	I
ENSCGOG00000003186	I	I	I
ENSCGOG00000006423	I	I	I
ENSCGOG00000007059	I	I	I
ENSCGOG00000014355	I	I	I
ENSCGOG00000015113	UL	UL	UL
ENSCGOG00000011868	I	I	I
ENSCGOG00000014789	UL	UL	I
ENSCGOG00000011595	L	M	M
ENSCGOG00000005925	I	UL	UL
ENSCGOG00000013273	I	I	I
ENSCGOG00000012050	I	I	I
ENSCGOG00000023730	I	I	I
ENSCGOG00000005933	I	I	I
ENSCGOG00000013142	L	L	L
ENSCGOG00000007117	I	I	I
ENSCGOG00000011628	UL	UL	UL
ENSCGOG00000010137	I	UL	UL
ENSCGOG00000022916	I	I	I
ENSCGOG00000005324	I	I	I
ENSCGOG00000009916	I	I	I
ENSCGOG00000014601	I	I	I
ENSCGOG00000018406	PG	PM	PM
ENSCGOG00000010247	I	I	I
ENSCGOG00000003697	I	I	I
ENSCGOG00000013006	I	I	I
ENSCGOG00000014659	I	I	I
ENSCGOG00000003192	I	I	I
ENSCGOG00000006749	I	PI	PI
ENSCGOG00000012194	I	I	I
ENSCGOG00000018525	I	I	I
ENSCGOG00000017869	UL	UL	UL
ENSCGOG00000006227	L	L	L
ENSCGOG00000017667	I	I	I
ENSCGOG00000017383	I	I	I
ENSCGOG00000020454	I	I	I
ENSCGOG00000018710	I	I	I
ENSCGOG00000002909	I	I	I
ENSCGOG00000015826	I	I	I
ENSCGOG00000010813	I	I	I
ENSCGOG00000006993	I	I	I
ENSCGOG00000001650	L	L	L
ENSCGOG00000011811	I	I	I
ENSCGOG00000018983	I	I	I
ENSCGOG00000022957	I	I	I
ENSCGOG00000021625	I	I	I
ENSCGOG00000002922	UL	UL	UL
ENSCGOG00000022671	UL	UL	UL
ENSCGOG00000024318	L	L	L
ENSCGOG00000007076	I	I	I
ENSCGOG00000004042	I	I	I
ENSCGOG00000024172	I	I	I
ENSCGOG00000002192	I	I	I
ENSCGOG00000015895	I	I	I
ENSCGOG00000012594	I	I	I
ENSCGOG00000022205	I	I	I
ENSCGOG00000003185	L	M	M
ENSCGOG00000006387	I	I	I
ENSCGOG00000018052	I	I	I
ENSCGOG00000018282	I	I	I
ENSCGOG00000017324	I	I	I
ENSCGOG00000014988	I	I	I
ENSCGOG00000007717	UL	UL	UL
ENSCGOG00000024337	I	I	I
ENSCGOG00000007481	UL	UL	UL
ENSCGOG00000015057	I	I	I
ENSCGOG00000001755	I	I	I
ENSCGOG00000008432	UL	UL	UL
ENSCGOG00000021929	L	L	L
ENSCGOG00000022766	L	L	L
ENSCGOG00000018191	L	L	L
ENSCGOG00000017350	I	I	I
ENSCGOG00000001446	I	I	I
ENSCGOG00000002808	I	I	I
ENSCGOG00000020281	L	L	L
ENSCGOG00000008124	I	I	I
ENSCGOG00000007441	I	I	I
ENSCGOG00000016147	UL	UL	UL
ENSCGOG00000019591	I	I	I
ENSCGOG00000024763	I	I	I
ENSCGOG00000011761	I	I	I
ENSCGOG00000008275	I	I	I
ENSCGOG00000017922	L	M	M
ENSCGOG00000000402	L	L	L
ENSCGOG00000020998	I	I	I
ENSCGOG00000022709	I	I	I
ENSCGOG00000013387	I	I	I
ENSCGOG00000012777	I	I	I
ENSCGOG00000005393	I	I	I
ENSCGOG00000013409	I	I	I
ENSCGOG00000011320	I	UL	UL
ENSCGOG00000002874	I	I	I
ENSCGOG00000012048	I	I	I
