Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
100028at7898	Single	NC_047108_RagTag	123595678	123601423	-	731	199	0.5269	1.0	0	100028at7898_3	123601251_123601423_-|123595679_123596279_-
100034at7898	Single	NC_047120_RagTag	76976053	76979101	+	1154	229	0.8431	1.0	0	100034at7898_0	76976054_76976184_+|76977858_76978038_+|76978457_76978603_+|76978796_76979101_+
100096at7898	Single	NC_047107_RagTag	64534216	64543812	-	1314	254	0.8013	0.99	0	100096at7898_1	64543723_64543812_-|64541071_64541177_-|64540849_64540991_-|64540603_64540665_-|64536958_64536987_-|64536829_64536857_-|64536667_64536741_-|64536521_64536574_-|64534709_64534777_-|64534476_64534611_-|64534359_64534395_-|64534217_64534274_-
100113at7898	Single	NC_047121_RagTag	39868864	39886858	+	1362	232	0.8067	0.9588235294117647	0	100113at7898_2	39868865_39868993_+|39870288_39870432_+|39870769_39870803_+|39871639_39871729_+|39871804_39871843_+|39871979_39872069_+|39874689_39874782_+|39877750_39877835_+|39883646_39883766_+|39884158_39884240_+|39886799_39886858_+
100156at7898	Single	NC_047117_RagTag	4111239	4124891	-	1666	376	0.7019	1.0	0	100156at7898_8	4124757_4124891_-|4124361_4124549_-|4123759_4123846_-|4122204_4122336_-|4121065_4121278_-|4120507_4120634_-|4120227_4120372_-|4114502_4114554_-|4113740_4113940_-|4111240_4111350_-
100186at7898	Fragmented	NC_047105_RagTag	107611090	107642900	+	674	149	0.85	0.4371584699453552	0	100186at7898_0	107611091_107611123_+|107615844_107616000_+|107623225_107623343_+|107638503_107638607_+|107642835_107642900_+
100197at7898	Single	NC_047109_RagTag	8786975	8788287	+	1158	247	0.7199	0.9784172661870504	0	100197at7898_1	8786976_8787622_+|8787835_8787934_+|8788114_8788287_+
100311at7898	Single	NC_047119_RagTag	46303071	46319823	+	827	227	0.6475	1.0	0	100311at7898_3	46303072_46303107_+|46304720_46304829_+|46308136_46308261_+|46308420_46308526_+|46312647_46312822_+|46319647_46319823_+
100316at7898	Single	NC_047123_RagTag	37685571	37692509	+	1051	244	0.7279	0.8976897689768977	0	100316at7898_6	37685572_37685783_+|37686013_37686178_+|37688643_37688772_+|37688922_37689068_+|37692352_37692509_+
100418at7898	Single	NC_047111_RagTag	104702548	104841605	+	412	151	0.3942	0.8825757575757576	0	100418at7898_6	104702549_104702654_+|104702887_104703013_+|104754268_104754383_+|104783681_104783865_+|104823729_104823822_+|104841532_104841605_+
100486at7898	Duplicated	NC_047112_RagTag	96065146	96085518	-	1020	264	0.5482	1.0	0	100486at7898_2	96085453_96085518_-|96080883_96080922_-|96080565_96080677_-|96080383_96080464_-|96078221_96078404_-|96077960_96078033_-|96077737_96077813_-|96074175_96074275_-|96073748_96074073_-|96065147_96065313_-
100486at7898	Duplicated	NC_047112_RagTag	99030783	99053308	-	1001	267	0.5459	1.0	0	100486at7898_2	99053243_99053308_-|99048700_99048739_-|99048375_99048487_-|99048193_99048274_-|99046034_99046216_-|99045760_99045833_-|99045539_99045615_-|99041969_99042069_-|99041542_99041867_-|99030784_99030950_-
100487at7898	Single	NC_047103_RagTag	65326228	65342311	-	1193	337	0.5821	0.9668367346938775	0	100487at7898_7	65342180_65342311_-|65334116_65334289_-|65333891_65334011_-|65333208_65333454_-|65332670_65332773_-|65331371_65331525_-|65330312_65330413_-|65326229_65326363_-
100587at7898	Duplicated	NC_047112_RagTag	53660126	53672718	+	403	233	0.3311	1.0	0	100587at7898_9	53660127_53660847_+|53668194_53668307_+|53672663_53672718_+
100587at7898	Duplicated	NC_047112_RagTag	53464376	53475563	+	401	233	0.3311	1.0	0	100587at7898_9	53464377_53465097_+|53472374_53472487_+|53475508_53475563_+
100668at7898	Single	NC_047119_RagTag	35025171	35039208	+	900	217	0.7328	0.760655737704918	0	100668at7898_8	35025172_35025265_+|35032049_35032145_+|35032245_35032347_+|35032446_35032575_+|35037445_35037538_+|35039031_35039208_+
10070at7898	Single	NC_047114_RagTag	77854555	77879376	-	3674	971	0.6011	1.0	0	10070at7898_2	77879171_77879376_-|77875244_77875470_-|77874996_77875159_-|77874745_77874879_-|77874426_77874560_-|77874099_77874276_-|77872449_77872705_-|77872244_77872358_-|77871766_77871937_-|77865012_77865246_-|77862497_77862612_-|77861842_77862410_-|77861586_77861728_-|77861286_77861453_-|77861013_77861138_-|77860796_77860930_-|77860399_77860598_-|77855162_77855295_-|77854889_77855035_-|77854556_77854716_-
100873at7898	Single	NC_047112_RagTag	65209335	65214998	-	1116	215	0.8547	1.0	0	100873at7898	65214824_65214998_-|65211640_65211785_-|65211403_65211466_-|65210525_65210592_-|65209843_65209953_-|65209336_65209473_-
100891at7898	Duplicated	NC_047113_RagTag	64867608	64876664	+	1191	205	0.9277	1.0	0	100891at7898_0	64867609_64867656_+|64870800_64870894_+|64871616_64871803_+|64873948_64874015_+|64874637_64874770_+|64875213_64875296_+|64876538_64876664_+
100891at7898	Duplicated	ptg001104l_RagTag	934	10034	-	1190	205	0.9277	1.0	0	100891at7898_0	9987_10034_-|6750_6844_-|5825_6012_-|3581_3648_-|2826_2959_-|2297_2380_-|935_1061_-
101013at7898	Duplicated	NC_047115_RagTag	53757644	53779924	-	1159	220	0.8198	1.0	0	101013at7898_5	53779822_53779924_-|53779612_53779726_-|53778801_53778931_-|53762319_53762440_-|53757645_53758019_-
101013at7898	Duplicated	NC_047115_RagTag	61907305	61927440	+	1159	220	0.8198	1.0	0	101013at7898_5	61907306_61907408_+|61907504_61907618_+|61908302_61908432_+|61922645_61922766_+|61927066_61927440_+
101042at7898	Duplicated	NC_047105_RagTag	95037323	95074128	+	1185	260	0.7409	0.9721362229102167	0	101042at7898_4	95037324_95037476_+|95050541_95050608_+|95054637_95054752_+|95054851_95054928_+|95055028_95055094_+|95055217_95055316_+|95055831_95055917_+|95073233_95073291_+|95073681_95073750_+|95073837_95073917_+|95074036_95074128_+
101042at7898	Duplicated	NC_047105_RagTag	96746464	96785224	+	1185	260	0.7409	0.9721362229102167	0	101042at7898_4	96746465_96746617_+|96761654_96761721_+|96765749_96765864_+|96765963_96766040_+|96766140_96766206_+|96766329_96766428_+|96766943_96767029_+|96784329_96784387_+|96784777_96784846_+|96784933_96785013_+|96785132_96785224_+
10116at7898	Single	NC_047115_RagTag	29088025	29111449	+	5015	992	0.8156	0.975609756097561	0	10116at7898_2	29088026_29088237_+|29089678_29089744_+|29089880_29090005_+|29090354_29090478_+|29094116_29094263_+|29095070_29095171_+|29095261_29095382_+|29095726_29095837_+|29096147_29096294_+|29096391_29096502_+|29099078_29099189_+|29099389_29099661_+|29099770_29099841_+|29099925_29100072_+|29100155_29100346_+|29107795_29107995_+|29108140_29108358_+|29108603_29108820_+|29109111_29109269_+|29109789_29109938_+|29110156_29110309_+|29110419_29110534_+|29111018_29111190_+|29111293_29111449_+
101184at7898	Single	NC_047125_RagTag	61198034	61203345	-	695	203	0.5136	0.9877300613496932	0	101184at7898_9	61203244_61203345_-|61201783_61201974_-|61200318_61200448_-|61198591_61198658_-|61198035_61198474_-
101202at7898	Single	NC_047112_RagTag	22239294	22244559	+	1057	269	0.6538	1.0	0	101202at7898_3	22239295_22239369_+|22239844_22239927_+|22240797_22240969_+|22241058_22241181_+|22241372_22241461_+|22242041_22242116_+|22244078_22244171_+|22244261_22244432_+|22244515_22244559_+
