Region_ID	Projection_ID
reg_1	ENSCGOT00000042231.63
reg_2	ENSCGOT00000002504.28
reg_2	ENSCGOT00000002468.28
reg_2	ENSCGOT00000002525.28
reg_2	ENSCGOT00000002492.28
reg_2	ENSCGOT00000002469.28
reg_2	ENSCGOT00000002497.28
reg_2	ENSCGOT00000002551.28
reg_2	ENSCGOT00000002540.28
reg_2	ENSCGOT00000002554.28
reg_3	ENSCGOT00000034599.231
reg_3	ENSCGOT00000034698.231
reg_3	ENSCGOT00000034724.231
reg_3	ENSCGOT00000034623.231
reg_3	ENSCGOT00000034617.231
reg_3	ENSCGOT00000034757.231
reg_4	ENSCGOT00000049038.25
reg_5	ENSCGOT00000025423.106997
reg_5	ENSCGOT00000025433.106997
reg_5	ENSCGOT00000050384.113
reg_5	ENSCGOT00000050394.113
reg_5	ENSCGOT00000050381.113
reg_5	ENSCGOT00000050369.113
reg_5	ENSCGOT00000025432.106997
reg_5	ENSCGOT00000025408.106997
reg_6	ENSCGOT00000049232.25
reg_6	ENSCGOT00000049214.25
reg_6	ENSCGOT00000049251.25
reg_6	ENSCGOT00000049221.25
reg_6	ENSCGOT00000049240.25
reg_7	ENSCGOT00000010584.63
reg_7	ENSCGOT00000010591.63
reg_7	ENSCGOT00000010586.63
reg_8	ENSCGOT00000010224.11612
reg_8	ENSCGOT00000010231.11612
reg_8	ENSCGOT00000012651.28
reg_9	ENSCGOT00000011576.63
reg_9	ENSCGOT00000011598.63
reg_9	ENSCGOT00000011405.63
reg_9	ENSCGOT00000011630.63
reg_10	ENSCGOT00000053510.25
reg_10	ENSCGOT00000053516.25
reg_10	ENSCGOT00000016551.5484
reg_10	ENSCGOT00000053502.25
reg_10	ENSCGOT00000016543.5484
reg_11	ENSCGOT00000041383.63
reg_11	ENSCGOT00000040533.63
reg_11	ENSCGOT00000056050.6060
reg_11	ENSCGOT00000042043.63
reg_11	ENSCGOT00000056021.6060
reg_11	ENSCGOT00000041776.63
reg_11	ENSCGOT00000055938.6060
reg_11	ENSCGOT00000055679.6060
reg_11	ENSCGOT00000056030.6060
reg_11	ENSCGOT00000041991.63
reg_11	ENSCGOT00000056084.6060
