Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
100028at7898	Single	CM081440.1_RagTag	109304335	109310080	+	731	199	0.5269	1.0	0	100028at7898_3	109304336_109304508_+|109309480_109310080_+
100034at7898	Single	CM081455.1_RagTag	48404378	48407426	+	1154	229	0.8431	1.0	0	100034at7898_0	48404379_48404509_+|48406183_48406363_+|48406782_48406928_+|48407121_48407426_+
100096at7898	Single	CM081438.1_RagTag	84888387	84897983	+	1314	254	0.8013	0.99	0	100096at7898_1	84888388_84888477_+|84891023_84891129_+|84891209_84891351_+|84891535_84891597_+|84895213_84895242_+|84895343_84895371_+|84895459_84895533_+|84895626_84895679_+|84897423_84897491_+|84897589_84897724_+|84897805_84897841_+|84897926_84897983_+
100113at7898	Single	CM081451.1_RagTag	20899555	20917549	+	1362	232	0.8067	0.9588235294117647	0	100113at7898_2	20899556_20899684_+|20900979_20901123_+|20901460_20901494_+|20902330_20902420_+|20902495_20902534_+|20902670_20902760_+|20905380_20905473_+|20908441_20908526_+|20914337_20914457_+|20914849_20914931_+|20917490_20917549_+
100156at7898	Single	CM081445.1_RagTag	4177461	4191113	-	1666	376	0.7019	1.0	0	100156at7898_8	4190979_4191113_-|4190583_4190771_-|4189981_4190068_-|4188426_4188558_-|4187287_4187500_-|4186729_4186856_-|4186449_4186594_-|4180724_4180776_-|4179962_4180162_-|4177462_4177572_-
100186at7898	Fragmented	CM081437.1_RagTag	95115971	95147781	+	674	149	0.85	0.4371584699453552	0	100186at7898_0	95115972_95116004_+|95120725_95120881_+|95128106_95128224_+|95143384_95143488_+|95147716_95147781_+
100197at7898	Single	CM081441.1_RagTag	12312558	12313870	+	1158	247	0.7199	0.9784172661870504	0	100197at7898_1	12312559_12313205_+|12313418_12313517_+|12313697_12313870_+
100311at7898	Single	CM081452.1_RagTag	53975740	53992492	+	827	227	0.6475	1.0	0	100311at7898_3	53975741_53975776_+|53977389_53977498_+|53980805_53980930_+|53981089_53981195_+|53985316_53985491_+|53992316_53992492_+
100316at7898	Single	CM081456.1_RagTag	36073212	36080150	+	1051	244	0.7279	0.8976897689768977	0	100316at7898_6	36073213_36073424_+|36073654_36073819_+|36076284_36076413_+|36076563_36076709_+|36079993_36080150_+
100418at7898	Duplicated	CM081447.1_RagTag	12752509	12861113	-	489	151	0.4	1.0	0	100418at7898_2	12861032_12861113_-|12763013_12763134_-|12762664_12762809_-|12761529_12761644_-|12760165_12760349_-|12752510_12752626_-
100418at7898	Duplicated	ptg000072l_RagTag	511631	610912	-	494	151	0.4023	0.9881889763779528	0	100418at7898_2	610831_610912_-|521384_521505_-|521036_521181_-|514883_514998_-|513521_513705_-|511632_511751_-
100418at7898	Duplicated	ptg000072l_RagTag	663565	751232	+	501	151	0.4015	0.9881889763779528	0	100418at7898_2	663566_663651_+|668386_668512_+|668716_668861_+|672111_672226_+|749150_749334_+|751113_751232_+
100486at7898	Duplicated	CM081443.1_RagTag	85446489	85466861	-	1020	264	0.5482	1.0	0	100486at7898_2	85466796_85466861_-|85462226_85462265_-|85461908_85462020_-|85461726_85461807_-|85459564_85459747_-|85459303_85459376_-|85459080_85459156_-|85455518_85455618_-|85455091_85455416_-|85446490_85446656_-
100486at7898	Duplicated	CM081443.1_RagTag	85090378	85112903	-	1001	267	0.5459	1.0	0	100486at7898_2	85112838_85112903_-|85108295_85108334_-|85107970_85108082_-|85107788_85107869_-|85105629_85105811_-|85105355_85105428_-|85105134_85105210_-|85101564_85101664_-|85101137_85101462_-|85090379_85090545_-
100487at7898	Single	CM081435.1_RagTag	65721972	65738055	-	1193	337	0.5821	0.9668367346938775	0	100487at7898_7	65737924_65738055_-|65729860_65730033_-|65729635_65729755_-|65728952_65729198_-|65728414_65728517_-|65727115_65727269_-|65726056_65726157_-|65721973_65722107_-
100587at7898	Duplicated	CM081443.1_RagTag	26048066	26060658	+	403	233	0.3311	1.0	0	100587at7898_9	26048067_26048787_+|26056134_26056247_+|26060603_26060658_+
100587at7898	Duplicated	CM081443.1_RagTag	25852316	25863503	+	401	233	0.3311	1.0	0	100587at7898_9	25852317_25853037_+|25860314_25860427_+|25863448_25863503_+
100668at7898	Single	CM081452.1_RagTag	44455889	44469926	+	900	217	0.7328	0.760655737704918	0	100668at7898_8	44455890_44455983_+|44462767_44462863_+|44462963_44463065_+|44463164_44463293_+|44468163_44468256_+|44469749_44469926_+
10070at7898	Single	CM081444.1_RagTag	76280189	76305010	-	3674	971	0.6011	1.0	0	10070at7898_2	76304805_76305010_-|76300878_76301104_-|76300630_76300793_-|76300379_76300513_-|76300060_76300194_-|76299733_76299910_-|76298083_76298339_-|76297878_76297992_-|76297400_76297571_-|76290646_76290880_-|76288131_76288246_-|76287476_76288044_-|76287220_76287362_-|76286920_76287087_-|76286647_76286772_-|76286430_76286564_-|76286033_76286232_-|76280796_76280929_-|76280523_76280669_-|76280190_76280350_-
100873at7898	Single	CM081443.1_RagTag	35714101	35719764	-	1116	215	0.8547	1.0	0	100873at7898	35719590_35719764_-|35716406_35716551_-|35716169_35716232_-|35715291_35715358_-|35714609_35714719_-|35714102_35714239_-
100891at7898	Duplicated	CM081446.1_RagTag	63127420	63136476	+	1191	205	0.9277	1.0	0	100891at7898_0	63127421_63127468_+|63130612_63130706_+|63131428_63131615_+|63133760_63133827_+|63134449_63134582_+|63135025_63135108_+|63136350_63136476_+
100891at7898	Duplicated	CM081446.1_RagTag	62935723	62944823	+	1190	205	0.9277	1.0	0	100891at7898_0	62935724_62935771_+|62938914_62939008_+|62939746_62939933_+|62942110_62942177_+|62942799_62942932_+|62943378_62943461_+|62944697_62944823_+
101013at7898	Duplicated	CM081449.1_RagTag	45349692	45371972	-	1159	220	0.8198	1.0	0	101013at7898_5	45371870_45371972_-|45371660_45371774_-|45370849_45370979_-|45354367_45354488_-|45349693_45350067_-
101013at7898	Duplicated	CM081449.1_RagTag	45001092	45021227	-	1159	220	0.8198	1.0	0	101013at7898_5	45021125_45021227_-|45020915_45021029_-|45020101_45020231_-|45005767_45005888_-|45001093_45001467_-
101042at7898	Duplicated	CM081437.1_RagTag	87664059	87700864	+	1185	260	0.7409	0.9721362229102167	0	101042at7898_4	87664060_87664212_+|87677277_87677344_+|87681373_87681488_+|87681587_87681664_+|87681764_87681830_+|87681953_87682052_+|87682567_87682653_+|87699969_87700027_+|87700417_87700486_+|87700573_87700653_+|87700772_87700864_+
101042at7898	Duplicated	ptg002026l_RagTag	423555	462315	+	1185	260	0.7409	0.9721362229102167	0	101042at7898_4	423556_423708_+|438745_438812_+|442840_442955_+|443054_443131_+|443231_443297_+|443420_443519_+|444034_444120_+|461420_461478_+|461868_461937_+|462024_462104_+|462223_462315_+
10116at7898	Single	CM081449.1_RagTag	27475147	27498571	+	5015	992	0.8156	0.975609756097561	0	10116at7898_2	27475148_27475359_+|27476800_27476866_+|27477002_27477127_+|27477476_27477600_+|27481238_27481385_+|27482192_27482293_+|27482383_27482504_+|27482848_27482959_+|27483269_27483416_+|27483513_27483624_+|27486200_27486311_+|27486511_27486783_+|27486892_27486963_+|27487047_27487194_+|27487277_27487468_+|27494917_27495117_+|27495262_27495480_+|27495725_27495942_+|27496233_27496391_+|27496911_27497060_+|27497278_27497431_+|27497541_27497656_+|27498140_27498312_+|27498415_27498571_+
101184at7898	Single	CM081453.1_RagTag	73010687	73015998	-	695	203	0.5136	0.9877300613496932	0	101184at7898_9	73015897_73015998_-|73014436_73014627_-|73012971_73013101_-|73011244_73011311_-|73010688_73011127_-
101202at7898	Single	CM081443.1_RagTag	46407952	46413217	-	1057	269	0.6538	1.0	0	101202at7898_3	46413143_46413217_-|46412585_46412668_-|46411543_46411715_-|46411331_46411454_-|46411051_46411140_-|46410396_46410471_-|46408341_46408434_-|46408080_46408251_-|46407953_46407997_-
101232at7898	Duplicated	CM081451.1_RagTag	46815430	46820168	+	918	206	0.7029	0.9715447154471545	0	101232at7898_6	46815431_46815493_+|46815677_46815729_+|46816716_46816867_+|46817234_46817395_+|46817498_46817619_+|46820004_46820168_+
101232at7898	Duplicated	CM081451.1_RagTag	46777248	46781975	-	908	206	0.6971	0.9715447154471545	0	101232at7898_6	46781913_46781975_-|46781678_46781730_-|46780505_46780662_-|46778649_46778810_-|46778419_46778540_-|46777249_46777413_-
101261at7898	Single	CM081438.1_RagTag	111571207	111594071	-	791	200	0.7037	0.7970479704797048	0	101261at7898_1	111593896_111594071_-|111593720_111593816_-|111579452_111579541_-|111579167_111579311_-|111571442_111571489_-|111571208_111571299_-
101281at7898	Single	CM081454.1_RagTag	48126105	48138545	-	1016	265	0.67	1.0	0	101281at7898	48138517_48138545_-|48133502_48133736_-|48133337_48133405_-|48132980_48133081_-|48131190_48131294_-|48130155_48130268_-|48126803_48126922_-|48126106_48126216_-
101323at7898	Single	CM081437.1_RagTag	100190251	100195983	+	592	187	0.5353	1.0	0	101323at7898_7	100190252_100190304_+|100192334_100192475_+|100192747_100192896_+|100193530_100193720_+|100195830_100195983_+
101331at7898	Single	CM081442.1_RagTag	1730167	1735021	-	748	195	0.6542	0.7925925925925926	0	101331at7898_8	1734535_1735021_-|1730168_1730322_-
101339at7898	Single	CM081437.1_RagTag	53032674	53039937	+	889	200	0.6867	1.0	0	101339at7898_9	53032675_53032780_+|53036613_53036765_+|53036888_53037012_+|53037140_53037279_+|53039763_53039937_+
101344at7898	Duplicated	CM081443.1_RagTag	9363449	9372237	-	1044	214	0.8465	1.0	0	101344at7898_0	9372139_9372237_-|9370268_9370317_-|9369954_9370032_-|9369609_9369766_-|9367877_9368039_-|9363450_9363629_-
101344at7898	Duplicated	CM081443.1_RagTag	8927960	8936030	-	1040	214	0.8425	1.0	0	101344at7898_0	8935932_8936030_-|8934039_8934088_-|8933725_8933803_-|8933380_8933537_-|8932018_8932180_-|8927961_8928140_-
10135at7898	Duplicated	CM081443.1_RagTag	96720109	96795319	-	4930	869	0.7189	0.9971077368040492	0	10135at7898_0	96795203_96795319_-|96795010_96795106_-|96785751_96785848_-|96785446_96785529_-|96785284_96785351_-|96785100_96785186_-|96784138_96784192_-|96780945_96781145_-|96780785_96780857_-|96775621_96775733_-|96775386_96775451_-|96774537_96774596_-|96774408_96774455_-|96771536_96771616_-|96771180_96771367_-|96768969_96769091_-|96768754_96768856_-|96766538_96766624_-|96765923_96766006_-|96765748_96765825_-|96741407_96741502_-|96741116_96741316_-|96740970_96741023_-|96739824_96740070_-|96738710_96738838_-|96738463_96738624_-|96735431_96735586_-|96735234_96735342_-|96734918_96734991_-|96734608_96734825_-|96728335_96728477_-|96727739_96728058_-|96720342_96720475_-|96720110_96720241_-
