Region_ID	Projection_ID
reg_1	ENSCGOT00000025393.16
reg_2	ENSCGOT00000020141.16
reg_2	ENSCGOT00000020208.16
reg_2	ENSCGOT00000020195.16
reg_2	ENSCGOT00000020182.16
reg_2	ENSCGOT00000020053.16
reg_3	ENSCGOT00000007964.16
reg_3	ENSCGOT00000007954.16
reg_4	ENSCGOT00000033476.142
reg_5	ENSCGOT00000008911.142
reg_5	ENSCGOT00000052097.33442
reg_5	ENSCGOT00000052096.33442
reg_5	ENSCGOT00000052101.33442
reg_6	ENSCGOT00000045027.83
reg_6	ENSCGOT00000045038.83
reg_7	ENSCGOT00000043155.2943
reg_7	ENSCGOT00000043016.2943
reg_7	ENSCGOT00000042927.2943
reg_7	ENSCGOT00000042884.2943
reg_7	ENSCGOT00000043182.2943
reg_7	ENSCGOT00000043177.2943
reg_7	ENSCGOT00000042945.2943
reg_7	ENSCGOT00000043060.2943
reg_7	ENSCGOT00000042881.2943
reg_8	ENSCGOT00000052252.98706
reg_8	ENSCGOT00000052256.124067
reg_8	ENSCGOT00000052252.282441
reg_9	ENSCGOT00000059739.16
reg_9	ENSCGOT00000059737.16
reg_9	ENSCGOT00000059725.16
reg_9	ENSCGOT00000059728.16
reg_9	ENSCGOT00000059735.16
reg_9	ENSCGOT00000059720.16
reg_9	ENSCGOT00000059721.16
reg_9	ENSCGOT00000059738.16
reg_9	ENSCGOT00000059723.16
reg_9	ENSCGOT00000059729.16
reg_10	ENSCGOT00000058925.121366
reg_10	ENSCGOT00000058914.121366
reg_10	ENSCGOT00000058932.121366
reg_10	ENSCGOT00000058955.117299
reg_10	ENSCGOT00000058855.6060
reg_10	ENSCGOT00000058920.121366
reg_10	ENSCGOT00000058933.121366
reg_11	ENSCGOT00000058961.849
reg_11	ENSCGOT00000058950.849
reg_11	ENSCGOT00000058894.849
reg_11	ENSCGOT00000058963.849
reg_11	ENSCGOT00000058924.849
reg_11	ENSCGOT00000058922.849
reg_11	ENSCGOT00000058907.849
reg_12	ENSCGOT00000053757.16
reg_12	ENSCGOT00000053626.16
reg_12	ENSCGOT00000053719.16
reg_12	ENSCGOT00000053733.16
reg_12	ENSCGOT00000053594.16
reg_12	ENSCGOT00000053512.16
reg_12	ENSCGOT00000053489.16
reg_12	ENSCGOT00000053493.16
reg_12	ENSCGOT00000053657.16
reg_12	ENSCGOT00000053679.16
reg_13	ENSCGOT00000040539.2943
reg_13	ENSCGOT00000040537.2943
reg_13	ENSCGOT00000040443.782
reg_13	ENSCGOT00000040539.782
reg_13	ENSCGOT00000040537.782
reg_13	ENSCGOT00000040350.782
reg_13	ENSCGOT00000040448.782
reg_13	ENSCGOT00000040083.782
reg_13	ENSCGOT00000040147.782
reg_13	ENSCGOT00000040135.2943
reg_13	ENSCGOT00000040182.782
reg_13	ENSCGOT00000040135.782
reg_13	ENSCGOT00000040182.2943
