Gene stable ID	Transcript stable ID
ENSCGOG00000000002	ENSCGOT00000000002
ENSCGOG00000000002	ENSCGOT00000000003
ENSCGOG00000000002	ENSCGOT00000000004
ENSCGOG00000000002	ENSCGOT00000000005
ENSCGOG00000000002	ENSCGOT00000000006
ENSCGOG00000000003	ENSCGOT00000000007
ENSCGOG00000000003	ENSCGOT00000000008
ENSCGOG00000000004	ENSCGOT00000000009
ENSCGOG00000000004	ENSCGOT00000000010
ENSCGOG00000000005	ENSCGOT00000000011
ENSCGOG00000000006	ENSCGOT00000000012
ENSCGOG00000000007	ENSCGOT00000000013
ENSCGOG00000000007	ENSCGOT00000000014
ENSCGOG00000000008	ENSCGOT00000000015
ENSCGOG00000000009	ENSCGOT00000000016
ENSCGOG00000000009	ENSCGOT00000000017
ENSCGOG00000000010	ENSCGOT00000000018
ENSCGOG00000000010	ENSCGOT00000000019
ENSCGOG00000000011	ENSCGOT00000000020
ENSCGOG00000000012	ENSCGOT00000000021
ENSCGOG00000000012	ENSCGOT00000000022
ENSCGOG00000000012	ENSCGOT00000000023
ENSCGOG00000000012	ENSCGOT00000000024
ENSCGOG00000000012	ENSCGOT00000000025
ENSCGOG00000000013	ENSCGOT00000000026
ENSCGOG00000000013	ENSCGOT00000000027
ENSCGOG00000000013	ENSCGOT00000000028
ENSCGOG00000000013	ENSCGOT00000000029
ENSCGOG00000000013	ENSCGOT00000000030
ENSCGOG00000000013	ENSCGOT00000000031
ENSCGOG00000000013	ENSCGOT00000000032
ENSCGOG00000000014	ENSCGOT00000000033
ENSCGOG00000000014	ENSCGOT00000000034
ENSCGOG00000000014	ENSCGOT00000000035
ENSCGOG00000000014	ENSCGOT00000000036
ENSCGOG00000000015	ENSCGOT00000000037
ENSCGOG00000000015	ENSCGOT00000000038
ENSCGOG00000000016	ENSCGOT00000000039
ENSCGOG00000000017	ENSCGOT00000000040
ENSCGOG00000000018	ENSCGOT00000000041
ENSCGOG00000000019	ENSCGOT00000000042
ENSCGOG00000000020	ENSCGOT00000000043
ENSCGOG00000000021	ENSCGOT00000000044
ENSCGOG00000000021	ENSCGOT00000000045
ENSCGOG00000000022	ENSCGOT00000000046
ENSCGOG00000000023	ENSCGOT00000000047
ENSCGOG00000000024	ENSCGOT00000000048
ENSCGOG00000000025	ENSCGOT00000000049
ENSCGOG00000000025	ENSCGOT00000000050
ENSCGOG00000000025	ENSCGOT00000000051
ENSCGOG00000000026	ENSCGOT00000000052
ENSCGOG00000000026	ENSCGOT00000000053
ENSCGOG00000000026	ENSCGOT00000000054
ENSCGOG00000000027	ENSCGOT00000000055
ENSCGOG00000000027	ENSCGOT00000000056
ENSCGOG00000000027	ENSCGOT00000000057
ENSCGOG00000000028	ENSCGOT00000000058
ENSCGOG00000000029	ENSCGOT00000000059
ENSCGOG00000000029	ENSCGOT00000000060
ENSCGOG00000000030	ENSCGOT00000000061
ENSCGOG00000000030	ENSCGOT00000000062
ENSCGOG00000000031	ENSCGOT00000000063
ENSCGOG00000000032	ENSCGOT00000000064
ENSCGOG00000000033	ENSCGOT00000000065
ENSCGOG00000000033	ENSCGOT00000000066
ENSCGOG00000000033	ENSCGOT00000000067
ENSCGOG00000000033	ENSCGOT00000000068
ENSCGOG00000000033	ENSCGOT00000000069
ENSCGOG00000000033	ENSCGOT00000000070
ENSCGOG00000000034	ENSCGOT00000000071
ENSCGOG00000000034	ENSCGOT00000000072
ENSCGOG00000000035	ENSCGOT00000000073
ENSCGOG00000000035	ENSCGOT00000000074
ENSCGOG00000000035	ENSCGOT00000000075
ENSCGOG00000000035	ENSCGOT00000000076
ENSCGOG00000000035	ENSCGOT00000000077
ENSCGOG00000000036	ENSCGOT00000000078
ENSCGOG00000000037	ENSCGOT00000000079
ENSCGOG00000000038	ENSCGOT00000000080
ENSCGOG00000000039	ENSCGOT00000000081
ENSCGOG00000000040	ENSCGOT00000000082
ENSCGOG00000000041	ENSCGOT00000000083
ENSCGOG00000000041	ENSCGOT00000000084
ENSCGOG00000000042	ENSCGOT00000000085
ENSCGOG00000000043	ENSCGOT00000000086
ENSCGOG00000000044	ENSCGOT00000000087
ENSCGOG00000000045	ENSCGOT00000000088
ENSCGOG00000000046	ENSCGOT00000000089
ENSCGOG00000000046	ENSCGOT00000000090
ENSCGOG00000000046	ENSCGOT00000000091
ENSCGOG00000000047	ENSCGOT00000000092
ENSCGOG00000000047	ENSCGOT00000000093
ENSCGOG00000000047	ENSCGOT00000000094
ENSCGOG00000000047	ENSCGOT00000000095
ENSCGOG00000000048	ENSCGOT00000000096
