Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
100028at7898	Single	CM081440.1	100430333	100436098	+	730	199	0.5269	1.0	0	100028at7898_3	100430334_100430506_+|100435498_100436098_+
100034at7898	Single	CM081455.1	31638275	31641329	+	1153	229	0.8431	1.0	0	100034at7898_0	31638276_31638406_+|31640086_31640266_+|31640685_31640831_+|31641024_31641329_+
100096at7898	Single	CM081438.1	71747044	71756697	+	1314	254	0.8013	0.99	0	100096at7898_1	71747045_71747134_+|71749706_71749812_+|71749892_71750034_+|71750218_71750280_+|71753898_71753927_+|71754029_71754057_+|71754150_71754224_+|71754317_71754370_+|71756137_71756205_+|71756303_71756438_+|71756519_71756555_+|71756640_71756697_+
100113at7898	Single	CM081451.1	18701549	18719527	+	1362	232	0.8067	0.9588235294117647	0	100113at7898_2	18701550_18701678_+|18702973_18703117_+|18703452_18703486_+|18704324_18704414_+|18704489_18704528_+|18704664_18704754_+|18707324_18707417_+|18710390_18710475_+|18716331_18716451_+|18716841_18716923_+|18719468_18719527_+
100156at7898	Single	CM081445.1	3965358	3980915	-	1851	376	0.7738	1.0	0	100156at7898_0	3980781_3980915_-|3980394_3980573_-|3979780_3979867_-|3978225_3978357_-|3977063_3977282_-|3976505_3976632_-|3976238_3976371_-|3968612_3968664_-|3967854_3968054_-|3965359_3965466_-
100186at7898	Single	CM081437.1	81243284	81411238	+	1154	203	0.8222	0.9854014598540146	0	100186at7898_2	81243285_81243317_+|81247825_81247981_+|81255228_81255346_+|81268941_81269045_+|81272933_81272980_+|81339697_81339741_+|81352720_81352789_+|81374097_81374161_+|81382084_81382157_+|81411145_81411238_+
100197at7898	Single	CM081441.1	10310906	10312216	+	1158	247	0.7199	0.9784172661870504	0	100197at7898_1	10310907_10311553_+|10311764_10311863_+|10312043_10312216_+
100311at7898	Single	CM081452.1	46013895	46031233	+	827	227	0.6475	1.0	0	100311at7898_3	46013896_46013931_+|46015544_46015653_+|46018996_46019121_+|46019280_46019386_+|46023510_46023685_+|46031057_46031233_+
100316at7898	Single	CM081456.1	31036288	31043142	+	1052	244	0.7279	0.8976897689768977	0	100316at7898_6	31036289_31036500_+|31036727_31036892_+|31039291_31039420_+|31039570_31039716_+|31042985_31043142_+
100418at7898	Single	CM081447.1	12556883	12560077	-	486	151	0.5202	0.6223021582733813	0	100418at7898_7	12559964_12560077_-|12559615_12559748_-|12558228_12558343_-|12556884_12557023_-
100486at7898	Single	CM081443.1	73360081	73382603	-	1020	267	0.5459	1.0	0	100486at7898_2	73382538_73382603_-|73378006_73378045_-|73377681_73377793_-|73377499_73377580_-|73375337_73375520_-|73375073_73375146_-|73374850_73374926_-|73371281_73371381_-|73370854_73371179_-|73360082_73360248_-
100487at7898	Single	CM081435.1	54417599	54434561	-	1191	337	0.5821	0.9668367346938775	0	100487at7898_7	54434430_54434561_-|54425478_54425651_-|54425253_54425373_-|54424581_54424827_-|54424040_54424143_-|54422731_54422885_-|54421689_54421790_-|54417600_54417734_-
100587at7898	Single	CM081443.1	22961328	22976309	+	403	233	0.3311	1.0	0	100587at7898_9	22961329_22962049_+|22971776_22971889_+|22976254_22976309_+
100668at7898	Single	CM081452.1	37286582	37300248	+	900	217	0.7328	0.760655737704918	0	100668at7898_8	37286583_37286676_+|37293397_37293493_+|37293593_37293695_+|37293794_37293923_+|37298488_37298581_+|37300071_37300248_+
10070at7898	Single	CM081444.1	64826135	64848532	-	3464	970	0.6026	0.9893617021276596	0	10070at7898_1	64848388_64848532_-|64846261_64846479_-|64846013_64846176_-|64845764_64845898_-|64845445_64845579_-|64845118_64845295_-|64843442_64843623_-|64843237_64843351_-|64842759_64842930_-|64836610_64836844_-|64834094_64834209_-|64833439_64834007_-|64833184_64833326_-|64832883_64833050_-|64832611_64832736_-|64832394_64832528_-|64831987_64832186_-|64826742_64826875_-|64826469_64826615_-|64826136_64826296_-
100873at7898	Single	CM081443.1	31261380	31266996	-	1116	215	0.8547	1.0	0	100873at7898	31266822_31266996_-|31263659_31263804_-|31263422_31263485_-|31262556_31262623_-|31261874_31261984_-|31261381_31261518_-
100891at7898	Single	CM081446.1	52587283	52596345	+	1190	205	0.9277	1.0	0	100891at7898_0	52587284_52587331_+|52590483_52590577_+|52591283_52591470_+|52593640_52593707_+|52594321_52594454_+|52594895_52594978_+|52596219_52596345_+
101013at7898	Single	CM081449.1	39652466	39674933	-	1159	220	0.8198	1.0	0	101013at7898_5	39674831_39674933_-|39674621_39674735_-|39673807_39673937_-|39657123_39657244_-|39652467_39652841_-
101042at7898	Single	CM081437.1	74326398	74364834	+	1185	260	0.7409	0.9721362229102167	0	101042at7898_4	74326399_74326551_+|74341244_74341311_+|74345321_74345436_+|74345535_74345612_+|74345712_74345778_+|74345901_74346000_+|74346515_74346601_+|74363939_74363997_+|74364387_74364456_+|74364543_74364623_+|74364742_74364834_+
