CM081435.1_RagTag	CM081435
CM081436.1_RagTag	CM081436
CM081437.1_RagTag	CM081437
CM081438.1_RagTag	CM081438
CM081439.1_RagTag	CM081439
CM081440.1_RagTag	CM081440
CM081441.1_RagTag	CM081441
CM081442.1_RagTag	CM081442
CM081443.1_RagTag	CM081443
CM081444.1_RagTag	CM081444
CM081445.1_RagTag	CM081445
CM081446.1_RagTag	CM081446
CM081447.1_RagTag	CM081447
CM081448.1_RagTag	CM081448
CM081449.1_RagTag	CM081449
CM081450.1_RagTag	CM081450
CM081451.1_RagTag	CM081451
CM081452.1_RagTag	CM081452
CM081453.1_RagTag	CM081453
CM081454.1_RagTag	CM081454
CM081455.1_RagTag	CM081455
CM081456.1_RagTag	CM081456
CM081457.1_RagTag	CM081457
JAUHVI010000024.1_RagTag	JAUHVI010000024
JAUHVI010000025.1_RagTag	JAUHVI010000025
JAUHVI010000026.1_RagTag	JAUHVI010000026
JAUHVI010000027.1_RagTag	JAUHVI010000027
JAUHVI010000028.1_RagTag	JAUHVI010000028
JAUHVI010000029.1_RagTag	JAUHVI010000029
JAUHVI010000030.1_RagTag	JAUHVI010000030
JAUHVI010000031.1_RagTag	JAUHVI010000031
JAUHVI010000032.1_RagTag	JAUHVI010000032
JAUHVI010000033.1_RagTag	JAUHVI010000033
JAUHVI010000034.1_RagTag	JAUHVI010000034
JAUHVI010000035.1_RagTag	JAUHVI010000035
JAUHVI010000036.1_RagTag	JAUHVI010000036
JAUHVI010000037.1_RagTag	JAUHVI010000037
JAUHVI010000038.1_RagTag	JAUHVI010000038
JAUHVI010000039.1_RagTag	JAUHVI010000039
JAUHVI010000042.1_RagTag	JAUHVI010000042
JAUHVI010000043.1_RagTag	JAUHVI010000043
JAUHVI010000044.1_RagTag	JAUHVI010000044
JAUHVI010000048.1_RagTag	JAUHVI010000048
JAUHVI010000049.1_RagTag	JAUHVI010000049
JAUHVI010000050.1_RagTag	JAUHVI010000050
JAUHVI010000051.1_RagTag	JAUHVI010000051
JAUHVI010000052.1_RagTag	JAUHVI010000052
