# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
100028at7898	Complete	CM081440.1	100430333	100436098	+	730	199	https://v10-1.orthodb.org/?query=100028at7898	Fat storage-inducing transmembrane protein
100034at7898	Complete	CM081455.1	31638275	31641329	+	1153	229	https://v10-1.orthodb.org/?query=100034at7898	TMEM101 protein
100096at7898	Complete	CM081438.1	71747044	71756697	+	1314	254	https://v10-1.orthodb.org/?query=100096at7898	General transcription factor IIH, polypeptide 3
100113at7898	Complete	CM081451.1	18701549	18719527	+	1362	232	https://v10-1.orthodb.org/?query=100113at7898	CobQ/CobB/MinD/ParA nucleotide binding domain
100156at7898	Complete	CM081445.1	3965358	3980915	-	1851	376	https://v10-1.orthodb.org/?query=100156at7898	protein LTV1 homolog
100186at7898	Complete	CM081437.1	81243284	81411238	+	1154	203	https://v10-1.orthodb.org/?query=100186at7898	Mitochondrial substrate/solute carrier
100197at7898	Complete	CM081441.1	10310906	10312216	+	1158	247	https://v10-1.orthodb.org/?query=100197at7898	Odd-skipped related transciption factor 2
100311at7898	Complete	CM081452.1	46013895	46031233	+	827	227	https://v10-1.orthodb.org/?query=100311at7898	Chloride intracellular channel 3
100316at7898	Complete	CM081456.1	31036288	31043142	+	1052	244	https://v10-1.orthodb.org/?query=100316at7898	radial spoke head protein 9 homolog
100418at7898	Complete	CM081447.1	12556883	12560077	-	486	151	https://v10-1.orthodb.org/?query=100418at7898	Immunoglobulin-like domain
100486at7898	Complete	CM081443.1	73360081	73382603	-	1020	267	https://v10-1.orthodb.org/?query=100486at7898	uncharacterized protein LOC108257899
100487at7898	Complete	CM081435.1	54417599	54434561	-	1191	337	https://v10-1.orthodb.org/?query=100487at7898	GPI mannosyltransferase 1
100587at7898	Complete	CM081443.1	22961328	22976309	+	403	233	https://v10-1.orthodb.org/?query=100587at7898	Protein of unknown function DUF4630
100668at7898	Complete	CM081452.1	37286582	37300248	+	900	217	https://v10-1.orthodb.org/?query=100668at7898	Ubiquinone biosynthesis protein Coq4
10070at7898	Complete	CM081444.1	64826135	64848532	-	3464	970	https://v10-1.orthodb.org/?query=10070at7898	PAS domain
100873at7898	Complete	CM081443.1	31261380	31266996	-	1116	215	https://v10-1.orthodb.org/?query=100873at7898	Guanidinoacetate N-methyltransferase
100891at7898	Complete	CM081446.1	52587283	52596345	+	1190	205	https://v10-1.orthodb.org/?query=100891at7898	TMEM33/Pom33 family
101013at7898	Complete	CM081449.1	39652466	39674933	-	1159	220	https://v10-1.orthodb.org/?query=101013at7898	translin-associated protein X
101042at7898	Complete	CM081437.1	74326398	74364834	+	1185	260	https://v10-1.orthodb.org/?query=101042at7898	syntaxin-18
10116at7898	Complete	CM081449.1	25066696	25097248	+	4827	992	https://v10-1.orthodb.org/?query=10116at7898	Erythroid differentiation regulatory factor 1
101184at7898	Complete	CM081453.1	41489834	41495119	-	695	203	https://v10-1.orthodb.org/?query=101184at7898	Caspase activity and apoptosis inhibitor 1
101202at7898	Complete	CM081443.1	38923461	38928700	-	1058	269	https://v10-1.orthodb.org/?query=101202at7898	Eukaryotic rRNA processing
101232at7898	Duplicated	CM081451.1	42588530	42593282	+	925	206	https://v10-1.orthodb.org/?query=101232at7898	isoamyl acetate-hydrolyzing esterase 1 homolog
101232at7898	Duplicated	CM081451.1	42543120	42547835	-	908	206	https://v10-1.orthodb.org/?query=101232at7898	isoamyl acetate-hydrolyzing esterase 1 homolog
101261at7898	Complete	CM081438.1	95756926	95787498	-	791	200	https://v10-1.orthodb.org/?query=101261at7898	Co-chaperone HscB, C-terminal oligomerisation domain
101281at7898	Complete	CM081454.1	42178836	42191337	-	1016	265	https://v10-1.orthodb.org/?query=101281at7898	FAM92 protein
101323at7898	Complete	CM081437.1	85246698	85252440	+	592	187	https://v10-1.orthodb.org/?query=101323at7898	Cell death-inducing DFFA-like effector c
101331at7898	Complete	CM081442.1	1738750	1743548	-	748	195	https://v10-1.orthodb.org/?query=101331at7898	Peptide deformylase
101339at7898	Complete	CM081437.1	44289965	44296695	+	893	200	https://v10-1.orthodb.org/?query=101339at7898	Small GTPase
101344at7898	Complete	CM081443.1	7529809	7536819	-	1044	214	https://v10-1.orthodb.org/?query=101344at7898	Vesicle transport protein, Use1
10135at7898	Complete	CM081443.1	83483205	83555509	-	4918	870	https://v10-1.orthodb.org/?query=10135at7898	Protein kinase domain
101372at7898	Complete	CM081449.1	30933297	30940742	-	966	230	https://v10-1.orthodb.org/?query=101372at7898	CUE domain-containing protein 2
101431at7898	Complete	CM081449.1	6353890	6364717	+	1490	274	https://v10-1.orthodb.org/?query=101431at7898	Transcription initiation factor IID, subunit 13
10143at7898	Complete	CM081440.1	74151311	74157144	-	2587	877	https://v10-1.orthodb.org/?query=10143at7898	Toll-like receptor 9
101465at7898	Complete	CM081449.1	66751824	66755214	-	778	215	https://v10-1.orthodb.org/?query=101465at7898	N-acylneuraminate-9-phosphatase
101472at7898	Complete	CM081455.1	33451902	33464087	+	1286	202	https://v10-1.orthodb.org/?query=101472at7898	Homeobox domain
101485at7898	Complete	CM081452.1	52611390	52612170	-	1238	219	https://v10-1.orthodb.org/?query=101485at7898	JAB1/MPN/MOV34 metalloenzyme domain
101512at7898	Complete	CM081438.1	84708462	84758521	+	1234	287	https://v10-1.orthodb.org/?query=101512at7898	WD40 repeat
101520at7898	Complete	CM081440.1	60758336	60762134	-	711	214	https://v10-1.orthodb.org/?query=101520at7898	neugrin
101523at7898	Complete	CM081443.1	33911524	33916415	-	583	206	https://v10-1.orthodb.org/?query=101523at7898	Homeobox domain
101536at7898	Complete	CM081451.1	48705536	48706532	+	1002	297	https://v10-1.orthodb.org/?query=101536at7898	G protein-coupled receptor, rhodopsin-like
101538at7898	Complete	CM081443.1	42593931	42636495	-	2015	356	https://v10-1.orthodb.org/?query=101538at7898	zinc finger matrin-type protein 3
101581at7898	Complete	CM081453.1	60974145	60978065	-	1153	217	https://v10-1.orthodb.org/?query=101581at7898	Homeobox domain
101590at7898	Complete	CM081453.1	60836536	60843212	-	1114	220	https://v10-1.orthodb.org/?query=101590at7898	Superoxide dismutase, copper/zinc binding domain
101634at7898	Complete	CM081454.1	36046859	36053731	+	888	175	https://v10-1.orthodb.org/?query=101634at7898	HCLS1-associated protein X-1
101639at7898	Complete	CM081456.1	3755779	3778560	+	1384	261	https://v10-1.orthodb.org/?query=101639at7898	uncharacterized protein C1orf198 homolog
101648at7898	Complete	CM081435.1	129456489	129481100	-	1189	288	https://v10-1.orthodb.org/?query=101648at7898	Mitochondrial ribosomal protein L39
101684at7898	Complete	CM081437.1	62984125	63010045	+	1117	214	https://v10-1.orthodb.org/?query=101684at7898	tRNA (guanine-N(7)-)-methyltransferase
101710at7898	Complete	CM081449.1	8303623	8313036	+	1208	230	https://v10-1.orthodb.org/?query=101710at7898	metaxin-2
101724at7898	Complete	CM081452.1	16989946	16990723	-	1144	242	https://v10-1.orthodb.org/?query=101724at7898	Fatty acid hydroxylase
101741at7898	Complete	CM081446.1	33678868	33680874	+	801	255	https://v10-1.orthodb.org/?query=101741at7898	Homeobox domain
101781at7898	Complete	CM081437.1	14234198	14242571	+	1144	180	https://v10-1.orthodb.org/?query=101781at7898	Eukaryotic translation initiation factor 6
101819at7898	Complete	CM081439.1	77185824	77199539	+	907	221	https://v10-1.orthodb.org/?query=101819at7898	Signal recognition particle receptor, beta subunit
101853at7898	Complete	CM081446.1	43144930	43151369	-	1565	312	https://v10-1.orthodb.org/?query=101853at7898	SAM-dependent methyltransferase TRM5/TYW2-type
101900at7898	Complete	CM081451.1	26705412	26728243	-	1292	400	https://v10-1.orthodb.org/?query=101900at7898	Protein of unknown function DUF4594
101957at7898	Complete	CM081447.1	1208269	1231930	-	930	206	https://v10-1.orthodb.org/?query=101957at7898	Proteasome assembly chaperone 1
102009at7898	Complete	CM081442.1	52743234	52767737	-	1606	361	https://v10-1.orthodb.org/?query=102009at7898	protein SAAL1
10205at7898	Complete	CM081441.1	14810441	14879127	-	5645	1037	https://v10-1.orthodb.org/?query=10205at7898	Transcription initiation factor TFIID subunit 2
102063at7898	Complete	CM081445.1	95685694	95695761	+	906	228	https://v10-1.orthodb.org/?query=102063at7898	Centromere protein Cenp-K
102089at7898	Complete	CM081439.1	64001443	64003954	+	1490	210	https://v10-1.orthodb.org/?query=102089at7898	Paired-like homeobox 2a
102113at7898	Complete	CM081442.1	36156445	36191214	-	1184	269	https://v10-1.orthodb.org/?query=102113at7898	Ribosomal protein S24/S35, mitochondrial, conserved domain
102149at7898	Complete	CM081445.1	53506451	53542661	-	855	226	https://v10-1.orthodb.org/?query=102149at7898	Non-structural maintenance of chromosomes element 1
102160at7898	Complete	CM081450.1	55387026	55397395	+	1378	254	https://v10-1.orthodb.org/?query=102160at7898	Ribosomal protein S5, C-terminal
102171at7898	Complete	CM081451.1	49458803	49566833	-	1077	239	https://v10-1.orthodb.org/?query=102171at7898	uncharacterized protein C15orf41 homolog
102175at7898	Complete	CM081457.1	7430584	7433138	+	846	219	https://v10-1.orthodb.org/?query=102175at7898	Peroxisome assembly protein 26
102227at7898	Complete	JAUHVI010000028.1	735997	867292	+	862	207	https://v10-1.orthodb.org/?query=102227at7898	L-xylulose reductase
102273at7898	Complete	CM081439.1	64189596	64196198	-	1246	229	https://v10-1.orthodb.org/?query=102273at7898	transmembrane O-methyltransferase
102330at7898	Complete	CM081438.1	45620601	45676145	+	804	190	https://v10-1.orthodb.org/?query=102330at7898	SH2 domain
102341at7898	Complete	CM081438.1	66178900	66198412	-	1620	422	https://v10-1.orthodb.org/?query=102341at7898	Coiled-coil domain containing 112
102349at7898	Complete	CM081440.1	86291394	86326161	+	2931	608	https://v10-1.orthodb.org/?query=102349at7898	Collagen triple helix repeat
102373at7898	Complete	CM081436.1	64058747	64075421	+	862	177	https://v10-1.orthodb.org/?query=102373at7898	Ribonuclease T2-like
102375at7898	Complete	CM081436.1	110010967	110034254	+	1055	220	https://v10-1.orthodb.org/?query=102375at7898	NADH:ubiquinone oxidoreductase, 30kDa subunit
102378at7898	Complete	CM081452.1	45283829	45284624	-	544	202	https://v10-1.orthodb.org/?query=102378at7898	RING finger protein 208
102409at7898	Complete	CM081441.1	5139331	5174061	+	1378	252	https://v10-1.orthodb.org/?query=102409at7898	Fibrillarin
10242at7898	Complete	CM081451.1	19270144	19375948	+	2103	598	https://v10-1.orthodb.org/?query=10242at7898	Protein TALPID3
102483at7898	Complete	CM081455.1	43839665	43842626	-	1147	218	https://v10-1.orthodb.org/?query=102483at7898	Cytosolic Fe-S cluster assembly factor nubp2
10259at7898	Complete	CM081454.1	43770150	43782573	+	5863	714	https://v10-1.orthodb.org/?query=10259at7898	AT-hook DNA-binding motif-containing protein 1
102665at7898	Complete	JAUHVI010000028.1	11793	85459	-	1840	377	https://v10-1.orthodb.org/?query=102665at7898	Cavin family
102683at7898	Complete	CM081449.1	24813749	24825012	-	828	191	https://v10-1.orthodb.org/?query=102683at7898	Methyltransferase domain
102726at7898	Complete	CM081440.1	86761124	86767826	-	958	244	https://v10-1.orthodb.org/?query=102726at7898	Major intrinsic protein
102792at7898	Complete	CM081435.1	19074931	19082461	+	1001	197	https://v10-1.orthodb.org/?query=102792at7898	Alpha/beta hydrolase fold-1
102815at7898	Complete	CM081444.1	86783367	86788409	+	861	180	https://v10-1.orthodb.org/?query=102815at7898	Exoribonuclease, phosphorolytic domain 1
