# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
100028at7898	Complete	CM081440.1_RagTag	109304335	109310080	+	731	199	https://v10-1.orthodb.org/?query=100028at7898	Fat storage-inducing transmembrane protein
100034at7898	Complete	CM081455.1_RagTag	48404378	48407426	+	1154	229	https://v10-1.orthodb.org/?query=100034at7898	TMEM101 protein
100096at7898	Complete	CM081438.1_RagTag	84888387	84897983	+	1314	254	https://v10-1.orthodb.org/?query=100096at7898	General transcription factor IIH, polypeptide 3
100113at7898	Complete	CM081451.1_RagTag	20899555	20917549	+	1362	232	https://v10-1.orthodb.org/?query=100113at7898	CobQ/CobB/MinD/ParA nucleotide binding domain
100156at7898	Complete	CM081445.1_RagTag	4177461	4191113	-	1666	376	https://v10-1.orthodb.org/?query=100156at7898	protein LTV1 homolog
100186at7898	Fragmented	CM081437.1_RagTag	95115971	95147781	+	674	149	https://v10-1.orthodb.org/?query=100186at7898	Mitochondrial substrate/solute carrier
100197at7898	Complete	CM081441.1_RagTag	12312558	12313870	+	1158	247	https://v10-1.orthodb.org/?query=100197at7898	Odd-skipped related transciption factor 2
100311at7898	Complete	CM081452.1_RagTag	53975740	53992492	+	827	227	https://v10-1.orthodb.org/?query=100311at7898	Chloride intracellular channel 3
100316at7898	Complete	CM081456.1_RagTag	36073212	36080150	+	1051	244	https://v10-1.orthodb.org/?query=100316at7898	radial spoke head protein 9 homolog
100418at7898	Duplicated	CM081447.1_RagTag	12752509	12861113	-	489	151	https://v10-1.orthodb.org/?query=100418at7898	Immunoglobulin-like domain
100418at7898	Duplicated	ptg000072l_RagTag	511631	610912	-	494	151	https://v10-1.orthodb.org/?query=100418at7898	Immunoglobulin-like domain
100418at7898	Duplicated	ptg000072l_RagTag	663565	751232	+	501	151	https://v10-1.orthodb.org/?query=100418at7898	Immunoglobulin-like domain
100486at7898	Duplicated	CM081443.1_RagTag	85446489	85466861	-	1020	264	https://v10-1.orthodb.org/?query=100486at7898	uncharacterized protein LOC108257899
100486at7898	Duplicated	CM081443.1_RagTag	85090378	85112903	-	1001	267	https://v10-1.orthodb.org/?query=100486at7898	uncharacterized protein LOC108257899
100487at7898	Complete	CM081435.1_RagTag	65721972	65738055	-	1193	337	https://v10-1.orthodb.org/?query=100487at7898	GPI mannosyltransferase 1
100587at7898	Duplicated	CM081443.1_RagTag	26048066	26060658	+	403	233	https://v10-1.orthodb.org/?query=100587at7898	Protein of unknown function DUF4630
100587at7898	Duplicated	CM081443.1_RagTag	25852316	25863503	+	401	233	https://v10-1.orthodb.org/?query=100587at7898	Protein of unknown function DUF4630
100668at7898	Complete	CM081452.1_RagTag	44455889	44469926	+	900	217	https://v10-1.orthodb.org/?query=100668at7898	Ubiquinone biosynthesis protein Coq4
10070at7898	Complete	CM081444.1_RagTag	76280189	76305010	-	3674	971	https://v10-1.orthodb.org/?query=10070at7898	PAS domain
100873at7898	Complete	CM081443.1_RagTag	35714101	35719764	-	1116	215	https://v10-1.orthodb.org/?query=100873at7898	Guanidinoacetate N-methyltransferase
100891at7898	Duplicated	CM081446.1_RagTag	63127420	63136476	+	1191	205	https://v10-1.orthodb.org/?query=100891at7898	TMEM33/Pom33 family
100891at7898	Duplicated	CM081446.1_RagTag	62935723	62944823	+	1190	205	https://v10-1.orthodb.org/?query=100891at7898	TMEM33/Pom33 family
101013at7898	Duplicated	CM081449.1_RagTag	45349692	45371972	-	1159	220	https://v10-1.orthodb.org/?query=101013at7898	translin-associated protein X
101013at7898	Duplicated	CM081449.1_RagTag	45001092	45021227	-	1159	220	https://v10-1.orthodb.org/?query=101013at7898	translin-associated protein X
101042at7898	Duplicated	CM081437.1_RagTag	87664059	87700864	+	1185	260	https://v10-1.orthodb.org/?query=101042at7898	syntaxin-18
101042at7898	Duplicated	ptg002026l_RagTag	423555	462315	+	1185	260	https://v10-1.orthodb.org/?query=101042at7898	syntaxin-18
10116at7898	Complete	CM081449.1_RagTag	27475147	27498571	+	5015	992	https://v10-1.orthodb.org/?query=10116at7898	Erythroid differentiation regulatory factor 1
101184at7898	Complete	CM081453.1_RagTag	73010687	73015998	-	695	203	https://v10-1.orthodb.org/?query=101184at7898	Caspase activity and apoptosis inhibitor 1
101202at7898	Complete	CM081443.1_RagTag	46407952	46413217	-	1057	269	https://v10-1.orthodb.org/?query=101202at7898	Eukaryotic rRNA processing
101232at7898	Duplicated	CM081451.1_RagTag	46815430	46820168	+	918	206	https://v10-1.orthodb.org/?query=101232at7898	isoamyl acetate-hydrolyzing esterase 1 homolog
101232at7898	Duplicated	CM081451.1_RagTag	46777248	46781975	-	908	206	https://v10-1.orthodb.org/?query=101232at7898	isoamyl acetate-hydrolyzing esterase 1 homolog
101261at7898	Complete	CM081438.1_RagTag	111571207	111594071	-	791	200	https://v10-1.orthodb.org/?query=101261at7898	Co-chaperone HscB, C-terminal oligomerisation domain
101281at7898	Complete	CM081454.1_RagTag	48126105	48138545	-	1016	265	https://v10-1.orthodb.org/?query=101281at7898	FAM92 protein
101323at7898	Complete	CM081437.1_RagTag	100190251	100195983	+	592	187	https://v10-1.orthodb.org/?query=101323at7898	Cell death-inducing DFFA-like effector c
101331at7898	Complete	CM081442.1_RagTag	1730167	1735021	-	748	195	https://v10-1.orthodb.org/?query=101331at7898	Peptide deformylase
101339at7898	Complete	CM081437.1_RagTag	53032674	53039937	+	889	200	https://v10-1.orthodb.org/?query=101339at7898	Small GTPase
101344at7898	Duplicated	CM081443.1_RagTag	9363449	9372237	-	1044	214	https://v10-1.orthodb.org/?query=101344at7898	Vesicle transport protein, Use1
101344at7898	Duplicated	CM081443.1_RagTag	8927960	8936030	-	1040	214	https://v10-1.orthodb.org/?query=101344at7898	Vesicle transport protein, Use1
10135at7898	Duplicated	CM081443.1_RagTag	96720109	96795319	-	4930	869	https://v10-1.orthodb.org/?query=10135at7898	Protein kinase domain
10135at7898	Duplicated	CM081443.1_RagTag	97243561	97321522	-	4916	870	https://v10-1.orthodb.org/?query=10135at7898	Protein kinase domain
101372at7898	Complete	CM081449.1_RagTag	33743957	33751403	-	966	230	https://v10-1.orthodb.org/?query=101372at7898	CUE domain-containing protein 2
101431at7898	Complete	CM081449.1_RagTag	6566265	6577637	+	1490	274	https://v10-1.orthodb.org/?query=101431at7898	Transcription initiation factor IID, subunit 13
10143at7898	Duplicated	ptg002230l_RagTag	96487	102324	-	2588	877	https://v10-1.orthodb.org/?query=10143at7898	Toll-like receptor 9
10143at7898	Duplicated	CM081440.1_RagTag	78188611	78194448	-	2587	877	https://v10-1.orthodb.org/?query=10143at7898	Toll-like receptor 9
101465at7898	Duplicated	CM081449.1_RagTag	76711544	76714975	-	778	215	https://v10-1.orthodb.org/?query=101465at7898	N-acylneuraminate-9-phosphatase
101465at7898	Duplicated	CM081449.1_RagTag	76181914	76185357	-	774	215	https://v10-1.orthodb.org/?query=101465at7898	N-acylneuraminate-9-phosphatase
101472at7898	Duplicated	ptg003010l_RagTag	458591	470771	-	1286	202	https://v10-1.orthodb.org/?query=101472at7898	Homeobox domain
101472at7898	Duplicated	CM081455.1_RagTag	50618083	50630274	+	1286	202	https://v10-1.orthodb.org/?query=101472at7898	Homeobox domain
101485at7898	Complete	CM081452.1_RagTag	61946529	61947309	-	1238	219	https://v10-1.orthodb.org/?query=101485at7898	JAB1/MPN/MOV34 metalloenzyme domain
101512at7898	Complete	CM081438.1_RagTag	99076642	99131546	+	1234	287	https://v10-1.orthodb.org/?query=101512at7898	WD40 repeat
101520at7898	Complete	ptg003864l_RagTag	39408	50475	-	478	215	https://v10-1.orthodb.org/?query=101520at7898	neugrin
101523at7898	Duplicated	CM081443.1_RagTag	39499788	39504671	-	583	206	https://v10-1.orthodb.org/?query=101523at7898	Homeobox domain
101523at7898	Duplicated	ptg003789l_RagTag	563504	568108	-	583	206	https://v10-1.orthodb.org/?query=101523at7898	Homeobox domain
101536at7898	Complete	CM081451.1_RagTag	54531781	54532777	+	1002	297	https://v10-1.orthodb.org/?query=101536at7898	G protein-coupled receptor, rhodopsin-like
101538at7898	Complete	CM081443.1_RagTag	51202692	51246559	-	1996	356	https://v10-1.orthodb.org/?query=101538at7898	zinc finger matrin-type protein 3
101581at7898	Complete	CM081453.1_RagTag	97131321	97135241	-	1157	217	https://v10-1.orthodb.org/?query=101581at7898	Homeobox domain
101590at7898	Complete	CM081453.1_RagTag	96989408	96996108	-	1118	220	https://v10-1.orthodb.org/?query=101590at7898	Superoxide dismutase, copper/zinc binding domain
