# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
100028at7898	Complete	NC_047108_RagTag	123595678	123601423	-	731	199	https://v10-1.orthodb.org/?query=100028at7898	Fat storage-inducing transmembrane protein
100034at7898	Complete	NC_047120_RagTag	76976053	76979101	+	1154	229	https://v10-1.orthodb.org/?query=100034at7898	TMEM101 protein
100096at7898	Complete	NC_047107_RagTag	64534216	64543812	-	1314	254	https://v10-1.orthodb.org/?query=100096at7898	General transcription factor IIH, polypeptide 3
100113at7898	Complete	NC_047121_RagTag	39868864	39886858	+	1362	232	https://v10-1.orthodb.org/?query=100113at7898	CobQ/CobB/MinD/ParA nucleotide binding domain
100156at7898	Complete	NC_047117_RagTag	4111239	4124891	-	1666	376	https://v10-1.orthodb.org/?query=100156at7898	protein LTV1 homolog
100186at7898	Fragmented	NC_047105_RagTag	107611090	107642900	+	674	149	https://v10-1.orthodb.org/?query=100186at7898	Mitochondrial substrate/solute carrier
100197at7898	Complete	NC_047109_RagTag	8786975	8788287	+	1158	247	https://v10-1.orthodb.org/?query=100197at7898	Odd-skipped related transciption factor 2
100311at7898	Complete	NC_047119_RagTag	46303071	46319823	+	827	227	https://v10-1.orthodb.org/?query=100311at7898	Chloride intracellular channel 3
100316at7898	Complete	NC_047123_RagTag	37685571	37692509	+	1051	244	https://v10-1.orthodb.org/?query=100316at7898	radial spoke head protein 9 homolog
100418at7898	Complete	NC_047111_RagTag	104702548	104841605	+	412	151	https://v10-1.orthodb.org/?query=100418at7898	Immunoglobulin-like domain
100486at7898	Duplicated	NC_047112_RagTag	96065146	96085518	-	1020	264	https://v10-1.orthodb.org/?query=100486at7898	uncharacterized protein LOC108257899
100486at7898	Duplicated	NC_047112_RagTag	99030783	99053308	-	1001	267	https://v10-1.orthodb.org/?query=100486at7898	uncharacterized protein LOC108257899
100487at7898	Complete	NC_047103_RagTag	65326228	65342311	-	1193	337	https://v10-1.orthodb.org/?query=100487at7898	GPI mannosyltransferase 1
100587at7898	Duplicated	NC_047112_RagTag	53660126	53672718	+	403	233	https://v10-1.orthodb.org/?query=100587at7898	Protein of unknown function DUF4630
100587at7898	Duplicated	NC_047112_RagTag	53464376	53475563	+	401	233	https://v10-1.orthodb.org/?query=100587at7898	Protein of unknown function DUF4630
100668at7898	Complete	NC_047119_RagTag	35025171	35039208	+	900	217	https://v10-1.orthodb.org/?query=100668at7898	Ubiquinone biosynthesis protein Coq4
10070at7898	Complete	NC_047114_RagTag	77854555	77879376	-	3674	971	https://v10-1.orthodb.org/?query=10070at7898	PAS domain
100873at7898	Complete	NC_047112_RagTag	65209335	65214998	-	1116	215	https://v10-1.orthodb.org/?query=100873at7898	Guanidinoacetate N-methyltransferase
100891at7898	Duplicated	NC_047113_RagTag	64867608	64876664	+	1191	205	https://v10-1.orthodb.org/?query=100891at7898	TMEM33/Pom33 family
100891at7898	Duplicated	ptg001104l_RagTag	934	10034	-	1190	205	https://v10-1.orthodb.org/?query=100891at7898	TMEM33/Pom33 family
101013at7898	Duplicated	NC_047115_RagTag	53757644	53779924	-	1159	220	https://v10-1.orthodb.org/?query=101013at7898	translin-associated protein X
101013at7898	Duplicated	NC_047115_RagTag	61907305	61927440	+	1159	220	https://v10-1.orthodb.org/?query=101013at7898	translin-associated protein X
101042at7898	Duplicated	NC_047105_RagTag	95037323	95074128	+	1185	260	https://v10-1.orthodb.org/?query=101042at7898	syntaxin-18
101042at7898	Duplicated	NC_047105_RagTag	96746464	96785224	+	1185	260	https://v10-1.orthodb.org/?query=101042at7898	syntaxin-18
10116at7898	Complete	NC_047115_RagTag	29088025	29111449	+	5015	992	https://v10-1.orthodb.org/?query=10116at7898	Erythroid differentiation regulatory factor 1
101184at7898	Complete	NC_047125_RagTag	61198034	61203345	-	695	203	https://v10-1.orthodb.org/?query=101184at7898	Caspase activity and apoptosis inhibitor 1
101202at7898	Complete	NC_047112_RagTag	22239294	22244559	+	1057	269	https://v10-1.orthodb.org/?query=101202at7898	Eukaryotic rRNA processing
101232at7898	Duplicated	NC_047121_RagTag	86302700	86307438	+	918	206	https://v10-1.orthodb.org/?query=101232at7898	isoamyl acetate-hydrolyzing esterase 1 homolog
101232at7898	Duplicated	NC_047121_RagTag	86264518	86269245	-	908	206	https://v10-1.orthodb.org/?query=101232at7898	isoamyl acetate-hydrolyzing esterase 1 homolog
101261at7898	Complete	NC_047107_RagTag	104199028	104221892	-	791	200	https://v10-1.orthodb.org/?query=101261at7898	Co-chaperone HscB, C-terminal oligomerisation domain
101281at7898	Complete	NC_047122_RagTag	53193036	53205476	-	1016	265	https://v10-1.orthodb.org/?query=101281at7898	FAM92 protein
101323at7898	Complete	NC_047105_RagTag	112818915	112824647	+	592	187	https://v10-1.orthodb.org/?query=101323at7898	Cell death-inducing DFFA-like effector c
101331at7898	Complete	NC_047110_RagTag	1325416	1330270	-	748	195	https://v10-1.orthodb.org/?query=101331at7898	Peptide deformylase
101339at7898	Complete	NC_047105_RagTag	55508419	55515682	+	889	200	https://v10-1.orthodb.org/?query=101339at7898	Small GTPase
